Site,Hole,Core,Core Type,Top Section,Top Offset,Top Depth CSF-A,Top Depth CCSF-A,Bottom Section,Bottom Offset,Bottom Depth CSF-A,Bottom Depth CCSF-A,Splice Type,Data Used,Comment
1,C,1,H,1,0.0,0.0,0.0,1,84.0,0.84,0.84,TIE,,
1,A,1,H,1,42.0,0.52,0.84,2,106.8,2.6180000000000003,2.938,TIE,,
1,B,2,H,1,104.0,2.64,2.938,2,104.4,4.139,4.437,TIE,,
1,A,2,H,1,90.0,4.0,4.437,2,32.6,4.931,5.368,TIE,,
1,B,3,H,1,42.0,5.02,5.368,2,119.8,7.308,7.656000000000001,TIE,,
1,A,3,H,1,117.0,7.27,7.656000000000001,2,48.0,8.08,8.466000000000001,TIE,,
1,B,4,H,1,44.0,8.04,8.466000000000001,2,99.3,10.108,10.534000000000002,TIE,,
1,C,4,H,1,131.0,8.84,10.534000000000002,2,103.3,10.072999999999999,11.767000000000001,TIE,,
1,B,5,H,1,92.0,11.52,11.767000000000001,2,84.7,12.952,13.199000000000002,TIE,,
1,C,6,H,1,113.0,13.251713333333333,13.199000000000002,2,137.3,14.982412011173185,14.929698677839854,TIE,,
1,B,6,H,1,106.0,14.66,14.929698677839854,2,111.7,16.229,16.498698677839855,TIE,,
1,C,7,H,2,27.1,16.89543067226891,16.498698677839855,2,113.1,17.753623949579833,17.35689195515078,TIE,,
1,B,7,H,1,85.0,17.380000000000003,17.35689195515078,2,56.1,18.611,18.587891955150777,TIE,,
1,A,6,H,1,54.0,15.639999999999999,18.587891955150777,2,36.0,16.955,19.90289195515078,TIE,,
1,B,8,H,1,40.3,19.832199337748346,19.90289195515078,2,111.9,22.05436043956044,22.125053056962873,TIE,,
1,A,7,H,2,14.4,19.749,22.125053056962873,2,71.4,20.319,22.695053056962873,TIE,,
1,C,10,H,1,62.0,23.75,22.695053056962873,2,100.3,25.637999999999998,24.58305305696287,TIE,,
1,A,8,H,1,126.0,22.36,24.58305305696287,2,85.9,23.469,25.692053056962873,TIE,,
1,C,11,H,1,54.0,26.669999999999998,25.692053056962873,2,74.4,28.389,27.411053056962874,TIE,,
1,B,11,H,1,88.0,28.009415670650732,27.411053056962874,2,57.3,29.208000000000002,28.609637386312144,TIE,,
1,C,12,H,1,38.0,29.498132890365447,28.609637386312144,2,44.5,31.01913567839196,30.13064017433866,TIE,,
1,B,12,H,1,48.0,30.60936127744511,30.13064017433866,2,126.2,32.89211438596491,32.41339328285846,TIE,,
1,C,13,H,1,145.0,33.06750828363154,32.41339328285846,2,117.9,34.295154488517746,33.64103948774466,TIE,,
1,B,13,H,1,51.0,33.64,33.64103948774466,2,78.8,35.068,35.06903948774466,TIE,,
1,C,14,H,1,127.0,35.900000000000006,35.06903948774466,2,90.4,37.034,36.203039487744654,TIE,,
1,B,14,H,1,97.0,36.69934942991281,36.203039487744654,2,87.9,38.099,37.60269005783184,TIE,,
1,C,15,H,1,61.0,38.24,37.60269005783184,2,23.1,39.359,38.72169005783184,TIE,,
1,B,15,H,1,53.0,38.98647137150466,38.72169005783184,2,73.9,40.686452307692306,40.421670994019486,TIE,,
1,C,16,H,2,2.5,41.155,40.421670994019486,2,122.5,42.355,41.62167099401948,TIE,,
1,B,16,H,1,57.0,41.586968085106385,41.62167099401948,2,72.3,43.23542079207921,43.27012370099231,APPEND,,
1,C,17,H,2,119.0,45.32,45.3547029089131,2,141.5,45.544999999999995,45.57970290891309,APPEND,,
1,A,16,E,3,0.0,49.81,49.8447029089131,3,81.2,50.59,50.6247029089131,APPEND,,unclear/not reliable
1,A,17,E,1,0.0,50.59,50.6247029089131,3,84.6,53.562,53.596702908913095,APPEND,,unclear/not reliable
1,B,17,H,1,0.0,43.64,53.596702908913095,3,61.0,45.784,55.74070290891309,APPEND,,
1,B,18,H,1,0.0,45.84,55.7967029089131,2,130.0,48.626,58.58270290891309,APPEND,,
1,B,19,H,1,0.0,48.74,58.696702908913096,3,115.0,52.644142857142825,62.60084576605592,APPEND,,
1,B,20,H,1,0.0,51.74,62.60084576605592,4,13.0,54.53,65.39084576605592,APPEND,,
1,B,21,H,1,0.0,54.74,65.60084576605593,2,64.5,55.932104477611944,66.79295024366786,TIE,,
1,C,22,H,1,76.5,56.895,66.79295024366786,2,132.0,58.945,68.84295024366786,TIE,,
1,B,22,H,3,0.0,57.499,68.84295024366786,3,27.0,57.70518181818182,69.04913206184968,APPEND,,
1,B,23,H,1,0.0,57.74,69.08395024366786,2,108.0,59.12,70.46395024366785,TIE,,
1,C,23,H,1,127.0,60.36602006688963,70.46395024366785,4,13.0,62.072,72.16993017677822,TIE,,
1,B,24,H,1,0.0,60.74,72.16993017677822,3,73.0,63.63920408163265,75.06913425841087,APPEND,,
1,B,25,H,1,0.0,63.74,75.16993017677822,2,122.0,66.475,77.90493017677821,APPEND,,
1,B,26,H,1,8.5,66.82499999999999,78.2549301767782,1,117.0,67.91,79.33993017677821,TIE,,
1,C,26,H,1,105.0,69.17999999999999,79.33993017677821,2,128.0,70.91,81.06993017677821,APPEND,,
1,C,27,H,1,0.0,70.63,81.06993017677821,3,18.0,73.339,83.77893017677822,APPEND,,
1,C,28,H,1,8.0,73.71,84.14993017677821,2,41.0,75.53999999999999,85.97993017677821,TIE,,
1,A,25,H,1,141.0,75.5692508361204,85.97993017677821,3,131.0,77.052,87.46267934065781,APPEND,,
1,A,26,H,1,0.0,77.18,87.59067934065781,2,125.0,79.71,90.1206793406578,APPEND,,
1,A,27,H,1,0.0,79.73,90.14067934065781,2,127.0,82.49499999999999,92.9056793406578,TIE,,
1,C,31,E,1,41.5,81.00829648241206,92.9056793406578,2,55.0,82.03800840336135,93.93539126160708,TIE,,
1,A,28,H,1,52.5,83.2445139813582,93.93539126160708,2,38.0,84.5740736196319,95.26495089988079,TIE,,
1,B,32,H,1,16.5,81.90368438538205,95.26495089988079,2,41.0,83.6397570621469,97.00102357664564,TIE,,
1,A,29,H,2,68.0,85.96458181818181,97.00102357664564,3,53.0,86.90442105263158,97.9408628110954,TIE,,
1,B,33,H,2,20.5,84.54242307692307,97.9408628110954,3,112.0,85.96652941176471,99.36496914593704,TIE,,
1,A,30,H,2,11.0,87.64113493064312,99.36496914593704,4,16.5,89.0391686746988,100.76300288999272,APPEND,,
1,A,31,E,1,0.0,89.04,100.76383421529393,2,117.5,91.71499999999999,103.43883421529391,,,
